Date,Clics ,Impressions,Conversions,Coût
mar. 13 févr. 2024,66,539,"2,00","44,11 €"
mer. 14 févr. 2024,76,675,"16,61","51,04 €"
jeu. 15 févr. 2024,72,601,"7,30","50,89 €"
ven. 16 févr. 2024,77,755,"7,56","51,56 €"
sam. 17 févr. 2024,70,735,"0,00","50,23 €"
dim. 18 févr. 2024,79,642,"12,10","55,69 €"
lun. 19 févr. 2024,72,722,"5,47","50,84 €"
mar. 20 févr. 2024,75,560,"1,00","51,06 €"
mer. 21 févr. 2024,79,471,"2,00","50,91 €"
jeu. 22 févr. 2024,90,853,"19,03","54,34 €"
ven. 23 févr. 2024,82,666,"6,00","47,13 €"
sam. 24 févr. 2024,90,621,"3,00","51,07 €"
dim. 25 févr. 2024,87,599,"7,00","48,05 €"
lun. 26 févr. 2024,84,717,"11,02","50,07 €"
mar. 27 févr. 2024,80,760,"16,98","43,51 €"
mer. 28 févr. 2024,85,624,"15,29","46,54 €"
jeu. 29 févr. 2024,85,571,"17,27","50,43 €"
ven. 1 mars 2024,86,524,"9,98","50,28 €"
sam. 2 mars 2024,94,834,"9,26","51,84 €"
dim. 3 mars 2024,95,602,"19,51","51,65 €"
lun. 4 mars 2024,97,645,"23,00","51,98 €"
mar. 5 mars 2024,98,726,"9,23","49,90 €"
mer. 6 mars 2024,100,771,"5,08","50,30 €"
jeu. 7 mars 2024,55,369,"2,00","29,16 €"
