Mot clé pour le Réseau de Recherche,Type de correspondance,État du critère,État de la campagne,État du groupe d'annonces,Coût,Clics ,CTR
hôtel lyon,Requête large,Activé,Activé,Activé,"526,09 €",821,"8,71 %"
pilo lyon,Mot clé exact,Activé,Activé,Activé,"165,12 €",326,"40,50 %"
pilo hotel,Expression exacte,Activé,Activé,Activé,"79,24 €",182,"36,69 %"
auberge de jeunesse lyon,Requête large,Activé,Activé,Activé,"65,39 €",97,"14,46 %"
hotel pas cher lyon,Mot clé exact,Activé,Activé,Activé,"48,49 €",75,"14,59 %"
pilo hotel lyon,Mot clé exact,Activé,Activé,Activé,"31,09 €",75,"36,59 %"
meilleur burger lyon,Expression exacte,Activé,Activé,Activé,"26,49 €",28,"7,98 %"
hotel pilo,Mot clé exact,Activé,Activé,Activé,"25,47 €",56,"46,28 %"
smash burger lyon,Requête large,Activé,Activé,Activé,"17,64 €",19,"6,17 %"
meilleur burger de lyon,Expression exacte,Activé,Activé,Activé,"15,96 €",19,"12,75 %"
burger a lyon,Expression exacte,Activé,Activé,Activé,"15,70 €",19,"5,85 %"
auberge jeunesse lyon,Mot clé exact,Activé,Activé,Activé,"15,05 €",21,"30,43 %"
hotel lyon pas cher,Expression exacte,Activé,Activé,Activé,"14,79 €",22,"11,34 %"
pilo hostel,Mot clé exact,Activé,Activé,Activé,"13,29 €",23,"26,44 %"
auberge de jeunesse lyon pas cher,Mot clé exact,Activé,Activé,Activé,"11,70 €",15,"36,59 %"
meilleurs burgers lyon,Expression exacte,Activé,Activé,Activé,"9,10 €",10,"14,29 %"
hostel lyon,Mot clé exact,Activé,Activé,Activé,"8,94 €",13,"11,21 %"
hotel pilo lyon,Mot clé exact,Activé,Activé,Activé,"7,45 €",16,"37,21 %"
hamburger lyon,Expression exacte,Mis en veille,Activé,Activé,"7,34 €",8,"3,21 %"
hotel lyon centre,Mot clé exact,Activé,Activé,Activé,"7,04 €",10,"10,20 %"
pilo hôtel,Mot clé exact,Activé,Activé,Activé,"7,00 €",17,"21,25 %"
prix pilo hôtel,Mot clé exact,Activé,Activé,Activé,"6,43 €",15,"53,57 %"
restaurant burger lyon,Expression exacte,Activé,Activé,Activé,"6,12 €",7,"5,93 %"
auberge de jeunesse à lyon,Mot clé exact,Activé,Activé,Activé,"4,72 €",8,"25,81 %"
lyon hotel,Mot clé exact,Activé,Activé,Activé,"4,66 €",8,"6,02 %"
hôtel pas cher lyon 20 euros,Expression exacte,Activé,Activé,Activé,"4,47 €",7,"20,00 %"
hotel à lyon,Mot clé exact,Activé,Activé,Activé,"4,37 €",6,"4,08 %"
pilo hôtel lyon,Mot clé exact,Activé,Activé,Activé,"4,30 €",9,"56,25 %"
auberge de jeunesse lyon centre,Mot clé exact,Activé,Activé,Activé,"3,67 €",4,"20,00 %"
auberge de jeunesse vieux lyon,Mot clé exact,Activé,Activé,Activé,"3,65 €",5,"20,83 %"
hotel a lyon,Expression exacte,Activé,Activé,Activé,"2,75 €",5,"100,00 %"
resto burger lyon,Expression exacte,Activé,Activé,Activé,"2,59 €",3,"11,54 %"
hotel de jeunesse lyon,Mot clé exact,Activé,Activé,Activé,"2,43 €",3,"17,65 %"
auberge de jeunesse lyon prix,Mot clé exact,Activé,Activé,Activé,"2,43 €",3,"75,00 %"
hotel lyon croix rousse,Mot clé exact,Activé,Activé,Activé,"1,95 €",3,"4,76 %"
hotel lyon,Mot clé exact,Mis en veille,Activé,Activé,"1,90 €",3,"0,91 %"
dortoir lyon pas cher,Mot clé exact,Activé,Activé,Activé,"1,29 €",2,"12,50 %"
hotel capsule lyon,Expression exacte,Activé,Activé,Activé,"1,14 €",2,"22,22 %"
auberge de jeunesse lyon chambre individuelle,Mot clé exact,Activé,Activé,Activé,"0,89 €",2,"40,00 %"
lyon auberge de jeunesse pas cher,Mot clé exact,Activé,Activé,Activé,"0,80 €",1,"20,00 %"
hotel lyon centre ville,Mot clé exact,Mis en veille,Activé,Activé,"0,75 €",1,"5,00 %"
hotel lyon 1er arrondissement,Mot clé exact,Supprimé,Activé,Activé,"0,74 €",1,"11,11 %"
hotel lyon 1,Mot clé exact,Supprimé,Activé,Activé,"0,64 €",1,"100,00 %"
auberge lyon,Mot clé exact,Activé,Activé,Activé,"0,60 €",1,"9,09 %"
lyon hostel,Mot clé exact,Activé,Activé,Activé,"0,48 €",1,"8,33 %"
auberge jeunesse lyon pas cher,Mot clé exact,Activé,Activé,Activé,"0,43 €",1,"100,00 %"
best burger lyon,Expression exacte,Activé,Activé,Activé,"0,00 €",0,"0,00 %"
burger lyon 1,Expression exacte,Activé,Activé,Activé,"0,00 €",0,"0,00 %"
burger lyon 4,Expression exacte,Activé,Activé,Activé,"0,00 €",0,"0,00 %"
smash burger lyon,Expression exacte,Supprimé,Activé,Activé,"0,00 €",0,"0,00 %"
