Campaign,Labels,Budget,Budget type,Standard conversion goals,Campaign Type,Networks,Location and language targeting,Languages,Bid Strategy Type,Bid Strategy Name,Enhanced CPC,Desktop Bid Modifier,Mobile Bid Modifier,Tablet Bid Modifier,TV Screen Bid Modifier,Start Date,End Date,Ad Schedule,Ad rotation,Targeting method,Exclusion method,Audience targeting,Flexible Reach,Text asset automation,Final URL expansion,Ad Group,Max CPC,Max CPM,Target CPA,Max CPV,Target CPV,Percent CPC,Target CPM,Target ROAS,Display Network Custom Bid Type,Optimized targeting,Ad Group Type,Keyword,Criterion Type,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Campaign Status,Ad Group Status,Status,Approval Status,Ad strength,Comment,Clicks,Cost,Impressions,All video ad seq impr,CTR,Interactions,Interaction Rate,Engagements,Engagement Rate,Invalid Clicks,Invalid Click Rate,Invalid Interactions,Invalid Interaction Rate,Avg CPC,Avg Cost,Avg CPE,Avg CPM,Avg CPV,Avg target CPA,Avg target ROAS,Avg target cost per install,Avg target cost per inapp action,Video Views,Video View Rate,Watch time,Avg watch time per impr,Video played to 25,Video played to 50,Video played to 75,Video played to 100,Coviewed impressions,Absolute top impression rate,Top impression percentage,Viewable impr,Non viewable impr,Measurable impr,Non measurable impr,Measurable cost,Measurable rate,Avg viewable CPM,Viewable CTR,Viewable impr distrib,Non viewable impr distrib,Non measurable impr distrib,Viewable rate,Conversions,Cost per conv,Conv rate,Conv value,Conv value per cost,Conv value per click,Value per conv,Value adjustment,Conversions by conv time,Conv value by conv time,Value per conv by conv time,All conv,Cost per all conv,All conv rate,All conv value,All conv value per cost,All conv value per click,Value per all conv,All value adjustment,All conv by conv time,All conv value by conv time,Value per all conv by conv time,Orders,Avg cart size,Avg order value,Cost of goods sold,Gross profit,Revenue,Crossdevice conv,Crossdevice conv value,Crossdevice conv by conv time,Crossdevice conv value by conv time,View through conv,New customers,Purchase conversions,Purchase value,Store visits,Store visit value,Store visit value per Store visit,View through store visits,Installs,Cost per install,InApp actions,Participated inapp actions,Cost per InApp action,Cost per Participated inapp action,Conversions under current model,Cost per conv under current model,Conv rate under current model,Conv value under current model,Value per conv under current model,Conv value per click under current model,Conv value per cost under current model,Store visits under data driven model,Store visits under last click model,Search Impr share,Search top IS,Search abs top IS,Search lost IS rank,Search lost top IS rank,Search lost abs top IS rank,Search lost IS budget,Search lost top IS budget,Search lost abs top IS budget,Search exact match IS,Display impr share,Display lost IS rank,Display lost IS budget,Click share,Relative CTR,Phone calls,Phone impressions,PTR,Chats,Message impressions,Chat rate,Avg impr freq per user,Unique users,Avg impr freq per user over 7 days,Avg impr freq per user over 30 days,Frequency distribution 1 plus,Frequency distribution 2 plus,Frequency distribution 3 plus,Frequency distribution 4 plus,Frequency distribution 5 plus,Frequency distribution 10 plus,Display Clicks,Display Cost,Display Impressions,Display CTR,Display Interactions,Display Interaction Rate,Display Engagements,Display Engagement Rate,Display Avg CPC,Display Avg Cost,Display Avg CPE,Display Avg CPM,Display Avg CPV,Display Video Views,Display Video View Rate,Display Video played to 25,Display Video played to 50,Display Video played to 75,Display Video played to 100,Display Viewable impr,Display Non viewable impr,Display Measurable impr,Display Non measurable impr,Display Measurable cost,Display Measurable rate,Display Avg viewable CPM,Display Viewable CTR,Display Viewable impr distrib,Display Non viewable impr distrib,Display Non measurable impr distrib,Display Viewable rate,Display Conversions,Display Cost per conv,Display Conv rate,Display Conv value,Display Conv value per cost,Display Conv value per click,Display Value per conv,Display All conv,Display Cost per all conv,Display All conv rate,Display All conv value,Display All conv value per cost,Display All conv value per click,Display Value per all conv,Display Crossdevice conv,Display Crossdevice conv value,Display View through conv,Display Store visits,Display Store visit value,Display Store visit value per Store visit,Display View through store visits
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,,,,,,50,28.45,546,546,9.16%,50,9.16%,0,0.00%,0,0.00%,0,0.00%,0.57,0.57,0.00,52.11,0.00,0.00,0.00%,0.00,0.00,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,546,23.68%,91.73%,0,0,0,546,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,04.08,6.96,8.17%,585.89,20.59,11.72,143.43,0.00,04.08,585.89,143.43,04.08,6.96,8.17%,585.89,20.59,11.72,143.43,0.00,04.08,585.89,143.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04.08,6.96,8.17%,585.89,143.43,11.72,20.59,0.00,0.00,9.99%,9.99%,9.99%,21.50%,21.59%,23.58%,75.73%,75.73%,75.73%,9.99%,0.00%,0.00%,0.00%,9.99%,0.00%,0,74,0.00%,0,0,0.00%,0.00,0,0.00,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,,,,,50,28.45,517,517,9.67%,50,9.67%,0,0.00%,,,,,0.57,0.57,0.00,55.03,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,517,24.31%,91.90%,0,0,0,517,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,04.08,6.96,8.17%,585.89,20.59,11.72,143.43,0.00,04.08,585.89,143.43,04.08,6.96,8.17%,585.89,20.59,11.72,143.43,0.00,04.08,585.89,143.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04.08,6.96,8.17%,585.89,143.43,11.72,20.59,0.00,0.00,9.99%,9.99%,9.99%,21.56%,21.64%,23.57%,,,,9.99%,0.00%,0.00%,,9.99%,0.00%,0,73,0.00%,0,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,4,2.44,58,,6.90%,4,6.90%,0,0.00%,,,,,0.61,0.61,0.00,42.07,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,58,,,0,0,0,58,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,1.00,2.44,25.00%,442.80,181.48,110.70,442.80,,,,,1.00,2.44,25.00%,442.80,181.48,110.70,442.80,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.50%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,6,3.34,43,,13.95%,6,13.95%,0,0.00%,,,,,0.56,0.56,0.00,77.67,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,43,,,0,0,0,43,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.74%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,2,1.14,38,,5.26%,2,5.26%,0,0.00%,,,,,0.57,0.57,0.00,30.00,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,38,,,0,0,0,38,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.29%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,15,8.48,235,,6.38%,15,6.38%,0,0.00%,,,,,0.57,0.57,0.00,36.09,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,235,,,0,0,0,235,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.76%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,5,2.94,33,,15.15%,5,15.15%,0,0.00%,,,,,0.59,0.59,0.00,89.09,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,33,,,0,0,0,33,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,03.08,0.95,61.70%,143.09,48.67,28.62,46.38,,,,,03.08,0.95,61.70%,143.09,48.67,28.62,46.38,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.08%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,7,3.77,44,,15.91%,7,15.91%,0,0.00%,,,,,0.54,0.54,0.00,85.68,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,44,,,0,0,0,44,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,21.47%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,,,,,,,,,,Enabled,Enabled,Enabled,,,,11,6.34,66,,16.67%,11,16.67%,0,0.00%,,,,,0.58,0.58,0.00,96.06,0.00,,,,,0,0.00%,0,0.0,0.00%,0.00%,0.00%,0.00%,66,,,0,0,0,66,0.00,0.00%,0.00,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,9.99%,,,20.75%,,,,,,9.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,hôtel lyon,Broad,1.92,1.92,0.00,2,Below average,Below average,Average,Enabled,Enabled,Enabled,Approved,,,41,23.56,411,,9.98%,41,9.98%,0,0.00%,,,,,0.57,0.57,0.00,57.32,0.00,,,,,0,0.00%,,,0.00%,0.00%,0.00%,0.00%,,25.92%,91.20%,,,,,,,,0.00%,,,,,04.08,5.77,9.96%,585.89,24.87,14.29,143.43,0.00,04.08,585.89,143.43,04.08,5.77,9.96%,585.89,24.87,14.29,143.43,0.00,04.08,585.89,143.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,,0.00,0.00,0.00,0.00,,,,,,,04.08,5.77,9.96%,585.89,143.43,14.29,24.87,0.00,0.00,9.99%,9.99%,9.99%,21.80%,21.89%,23.56%,,,,9.99%,,,,9.99%,,0,59,0.00%,0,0,0.00%,,,,,,,,,,,0,0.00,0,0.00%,0,0.00%,0,0.00%,0.00,0.00,0.00,0.00,0.00,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
FR | Dormir Lyon,,28.00,Daily,Account-level,Search,Google search;Search Partners,Campaign level,fr,Manual CPC,,Enabled,5,-65,,,12/02/2024,[],[],Optimize for clicks,Location of presence or Area of interest,Location of presence,Audience segments,Audience segments;Genders;Ages;Parental status;Household incomes,Enabled,Disabled,Hotel / Hostel,0.69,0.01,,,0.01,,0.01,,None,Disabled,Standard,hotel lyon centre,Exact,1.14,1.14,0.00,3,Below average,Average,Below average,Enabled,Enabled,Enabled,Approved,,,0,0.00,2,,0.00%,0,0.00%,0,0.00%,,,,,0.00,0.00,0.00,0.00,0.00,,,,,0,0.00%,,,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,,,,,,,,0.00%,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,9.99%,9.99%,9.99%,23.60%,23.56%,24.71%,,,,9.99%,,,,0.00%,,0,0,0.00%,0,0,0.00%,,,,,,,,,,,0,0.00,0,0.00%,0,0.00%,0,0.00%,0.00,0.00,0.00,0.00,0.00,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00
