Nom de l'article,Campagne de la session,Articles consultés,Articles ajoutés au panier,Articles achetés,Revenu généré par l'article
(not set),FR | Brand Lyon,0,0,26,0
Chambre Standard,FR | Brand Lyon,45,25,11,1548.43
(not set),FR | Dormir Lyon,0,0,10,0
Lit capsule en dortoir femme de 8 personnes - Salle de bain privative ,FR | Dormir Lyon,17,8,4,378.589999
Chambre Premium,FR | Brand Lyon,11,8,3,343.36
Chambre Quadruple,FR | Brand Lyon,28,5,3,741.75
Chambre Standard XL,FR | Brand Lyon,15,12,3,669.22
(not set),FR | Hôtel Pilo Lyon [208798] - Brand,0,0,2,0
Lit capsule en dortoir femme de 10 personnes - Salle de bain privative ,FR | Hôtel Pilo Lyon [208798] - Brand,2,2,2,164.28
Lit capsule en dortoir mixte de 16 personnes - Salle de bain commune,FR | Brand Lyon,4,8,2,62.860001
Lit capsule en dortoir mixte de 16 personnes - Salle de bain commune,FR | Dormir Lyon,7,4,2,208.65
Chambre Standard,FR | Dormir Lyon,21,4,1,91.23
Chambre Standard XL,FR | Dormir Lyon,7,3,1,68.62
Lit capsule en dortoir femme de 10 personnes - Salle de bain privative ,FR | Brand Lyon,7,4,1,126.69
Lit capsule en dortoir femme de 10 personnes - Salle de bain privative ,FR | Dormir Lyon,14,8,1,85.29
Lit capsule en dortoir mixte de 10 personnes - Salle de bain privative ,FR | Dormir Lyon,3,1,1,32.83
Lit capsule en dortoir mixte de 18 personnes - Salle de bain commune,FR | Brand Lyon,5,3,1,50.26
Lit capsule en dortoir mixte de 4 personnes - Salle de bain privative ,FR | Brand Lyon,11,2,1,41.33
Lit capsule en dortoir mixte de 9 personnes - Salle de bain privative ,FR | Brand Lyon,12,12,1,27.83
Chambre Quadruple,FR | Dormir Lyon,15,5,0,0
Chambre Standard XL PMR,FR | Brand Lyon,1,1,0,0
Chambre pour 4 personnes - Salle de bain privative,FR | Brand Lyon,3,1,0,0
Départ tardif à 14h (lit en dortoir),FR | Dormir Lyon,0,1,0,0
Lit capsule en dortoir femme de 8 personnes - Salle de bain privative ,FR | Brand Lyon,5,0,0,0
Lit capsule en dortoir mixte de 10 personnes - Salle de bain privative ,FR | Brand Lyon,1,0,0,0
Lit capsule en dortoir mixte de 14 personnes - Salle de bain commune,FR | Brand Lyon,1,3,0,0
Lit capsule en dortoir mixte de 14 personnes - Salle de bain commune,FR | Dormir Lyon,4,1,0,0
Lit capsule en dortoir mixte de 18 personnes - Salle de bain commune,FR | Dormir Lyon,4,1,0,0
Lit capsule en dortoir mixte de 4 personnes - Salle de bain privative ,FR | Dormir Lyon,7,1,0,0
Lit capsule en dortoir mixte de 9 personnes - Salle de bain privative ,FR | Dormir Lyon,7,6,0,0
Petit-déjeuner Express,FR | Brand Lyon,0,6,0,0
Petit-déjeuner buffet,FR | Brand Lyon,0,21,0,0
Petit-déjeuner buffet,FR | Dormir Lyon,0,1,0,0
Uniquement pour les dortoirs - location de serviette,FR | Brand Lyon,0,1,0,0
Uniquement pour les dortoirs - location de serviette,FR | Dormir Lyon,0,6,0,0
